2.39;162.67;160;160.20;170.76;11448
160.49;463.19;160.00;160;160.27;170.96;11436
160.74;463.81;160.00;160;159.92;169.84;11336
160.44;462.31;161.00;160;159.73;169.22;11440
160.21;462.02;162.00;160;160.28;171.00;11432
160.46;463.13;160.00;160;160.30;171.08;11328
160.39;462.26;161.33;160;159.89;169.73;11344
160.30;462.39;162.67;160;160.27;170.99;11360
160.67;463.86;160.00;160;160.19;170.73;11352
160.53;462.59;161.33;160;159.67;169.01;11352
160.32;462.38;162.67;160;160.20;170.76;11368
160.65;463.79;160.00;160;160.21;170.78;11356
160.52;462.57;161.00;160;159.69;169.08;11344
160.26;462.13;162.00;160;160.20;170.75;11432
160.47;463.12;162.00;160;160.28;171.00;11336
160.73;463.78;160.00;160;159.94;169.90;11424
160.44;462.31;161.00;160;159.74;169.24;11436
160.21;462.02;162.00;160;160.28;171.00;11324
160.47;463.13;160.00;160;160.30;171.07;11340
160.39;462.26;161.00;160;159.89;169.73;11344
160.24;462.13;162.00;160;160.27;170.97;11344
160.49;463.19;160.00;160;160.26;170.96;11360
160.39;462.26;161.33;160;159.87;169.69;11348
160.30;462.38;162.67;160;160.28;171.00;11344
160.67;463.86;160.00;160;160.20;170.74;11344
160.53;462.59;161.33;160;159.67;169.02;11404
160.32;462.39;161.33;160;160.20;170.76;11352
160.42;462.76;162.67;160;160.18;170.67;11444
160.73;463.99;160.00;160;160.09;170.39;11452
160.53;462.57;161.00;160;159.64;168.94;11332
160.25;462.09;162.00;160;160.21;170.77;11344
160.46;463.11;160.00;160;160.29;171.04;11348
160.38;462.23;161.00;160;159.90;169.76;11336
160.24;462.13;162.00;160;160.27;170.99;11352
160.49;463.19;160.00;160;160.26;170.96;11348
160.39;462.26;161.00;160;159.87;169.68;11332
160.24;462.12;162.00;160;160.27;170.97;11340
160.49;463.18;160.00;160;160.27;170.97;11416
160.39;462.26;161.33;160;159.88;169.69;11436
160.07;461.35;161.33;160;160.25;170.90;11364
160.18;462.18;162.67;160;160.51;171.77;11452
160.68;463.96;160.00;160;160.22;170.81;11452
